Deck,mmr
Temur Battlecrier,1030.4968829087939
Animals,1016.0
Temur Lessons,1016.0
4c Allies,1015.6655432933583
Graveyard Discount,1013.5082793311406
Izzet Lessons,1009.1027091971614
Bunnies,1008.0
Draw Two,1007.5676318497934
Sultai Reanimator,1007.2467668862641
Zuko Exile,1005.4849940723449
Earthbend,1000.736306793522
Firebending Aggro,989.9045454168106
Golgari Earthbend,986.1680886870981
WarpBlink,985.5025164912383
Ozai Firebend,983.9509048561137
Azula,983.263693206478
Waterbend,977.0707635001637
Undergrowth,964.330373509719
